vuelta,punto,angulo_deg,ultrasonido_cm,infrarrojo_cm,laser_cm,fusion_cm
1,0,0,15.4,16.15,83.8,83.8
1,1,1.8,15.19,16.12,82.5,82.5
1,2,3.6,14.75,16.025,80,80
1,3,5.4,45.38,15.82,79.55,79.55
1,4,7.2,75.94,15.78,79.95,79.95
1,5,9,75.25,15.54,80.3,80.3
1,6,10.8,74.97,15.09,84.05,84.05
1,7,12.6,75.12,14.9,86.95,86.95
1,8,14.4,75.355,14.585,88.35,88.35
1,9,16.2,76.185,14.035,92.3,92.3
1,10,18,76.295,13.505,100.4,100.4
1,11,19.8,75.89,13.4,107.95,107.95
1,12,21.6,75.635,13.4,113.4,113.4
1,13,23.4,76.495,13.295,119.95,119.95
1,14,25.2,78.105,13.29,125.45,125.45
1,15,27,78,13.155,127.9,127.9
1,16,28.8,78.99,13.14,125.35,125.35
1,17,30.6,81.485,13.385,120,120
1,18,32.4,81.36,13.51,111.45,111.45
1,19,34.2,80.79,13.475,106.4,106.4
1,20,36,81.365,13.86,105.2,105.2
1,21,37.8,81.935,15.165,102.9,102.9
1,22,39.6,82.24,16.245,101.55,101.55
1,23,41.4,81.7,16.135,99.85,99.85
1,24,43.2,81.295,15.87,99.9,99.9
1,25,45,81.31,15.945,100.8,100.8
1,26,46.8,80.98,15.335,102.4,102.4
1,27,48.6,80.25,14.83,104.95,104.95
1,28,50.4,80.15,14.62,105.95,105.95
1,29,52.2,79.92,14.185,105.7,105.7
1,30,54,79.555,14.345,102.85,102.85
1,31,55.8,76.435,14.68,99.25,99.25
1,32,57.6,72.605,14.84,97.05,97.05
1,33,59.4,68.84,14.785,94.95,94.95
1,34,61.2,65.88,15.895,90.8,90.8
1,35,63,64.835,17.59,87.4,87.4
1,36,64.8,63.77,18.09,86.1,86.1
1,37,66.6,63.18,18.2,84.45,84.45
1,38,68.4,62.58,18.17,83.1,83.1
1,39,70.2,62.825,18.18,81.55,81.55
1,40,72,62.655,18.42,79.9,79.9
1,41,73.8,62.42,18.25,77.85,77.85
1,42,75.6,62.605,17.065,74.5,74.5
1,43,77.4,62.575,17.335,72,72
1,44,79.2,62.14,19.71,70.85,70.85
1,45,81,61.735,20.665,69.3,69.3
1,46,82.8,61.775,20.165,67.5,67.5
1,47,84.6,61.985,19.655,65.85,65.85
1,48,86.4,62.175,19.155,65.5,65.5
1,49,88.2,62.175,19.235,65.45,65.45
1,50,90,62.07,19.255,66.05,66.05
1,51,91.8,62.02,18.955,67.55,67.55
1,52,93.6,62.215,18.22,68.55,68.55
1,53,95.4,62.53,17.4,69.9,69.9
1,54,97.2,62.785,16.245,73.65,73.65
1,55,99,63,14.49,77.1,77.1
1,56,100.8,63.05,13.695,80.65,80.65
1,57,102.6,62.795,13.465,88.05,88.05
1,58,104.4,63.205,13.42,107.4,107.4
1,59,106.2,64.725,13.49,125.85,125.85
1,60,108,64.835,13.445,131.45,131.45
1,61,109.8,63.84,13.335,135.85,135.85
1,62,111.6,68.22,13.195,141.95,141.95
1,63,113.4,69.775,13.07,145.75,145.75
1,64,115.2,90.2,12.9,147.9,147.9
1,65,117,95.74,12.9,150.7,150.7
1,66,118.8,120.7,13.185,152.4,152.4
1,67,120.6,145.65,13.235,155.75,155.75
1,68,122.4,104.2,13.14,158.2,158.2
1,69,124.2,81.475,12.83,156.9,156.9
1,70,126,85.03,12.82,153.95,153.95
1,71,127.8,84.6,13.175,152,152
1,72,129.6,81.86,13.235,149.85,149.85
1,73,131.4,83.42,13.375,148,148
1,74,133.2,83.655,13.555,144.15,144.15
1,75,135,80.515,13.655,139,139
1,76,136.8,79.15,13.615,134.55,134.55
1,77,138.6,79.935,13.585,130.8,130.8
1,78,140.4,78.51,13.415,122.75,122.75
1,79,142.2,77.055,13.245,112.25,112.25
1,80,144,77.09,13.345,105.05,105.05
1,81,145.8,75.835,13.535,98.7,98.7
1,82,147.6,72.08,13.905,90.85,90.85
1,83,149.4,68.58,14.07,85.05,85.05
1,84,151.2,67.29,14.265,82.65,82.65
1,85,153,64.84,14.965,79.75,79.75
1,86,154.8,62.68,15.215,77.7,77.7
1,87,156.6,66.68,14.745,75.8,75.8
1,88,158.4,69.985,14.48,74.5,74.5
1,89,160.2,73.61,14.6,73.2,73.2
1,90,162,71.13,14.495,71.2,71.2
1,91,163.8,63.29,14.575,69,69
1,92,165.6,61.555,15.055,68.2,68.2
1,93,167.4,60.5,15.275,67.4,67.4
1,94,169.2,58.95,15.43,66,66
1,95,171,57.715,15.625,65.05,65.05
1,96,172.8,57.495,15.86,64.4,64.4
1,97,174.6,57.2,15.875,63.8,63.8
1,98,176.4,56.68,15.985,62.95,62.95
1,99,178.2,56.435,16.33,61.9,61.9
1,100,180,56.23,16.46,61.3,61.3
1,101,181.8,56.26,16.595,61.2,61.2
1,102,183.6,56.41,16.67,61,61
1,103,185.4,56.175,16.86,60.65,60.65
1,104,187.2,55.91,17.085,60.55,60.55
1,105,189,55.64,17.005,59.95,59.95
1,106,190.8,55.415,18.18,59,59
1,107,192.6,55.445,19.43,58.75,58.75
1,108,194.4,55.45,20.04,58.8,58.8
1,109,196.2,55.655,21.575,58.6,58.6
1,110,198,55.615,21.785,58.4,58.4
1,111,199.8,55.19,21.22,58.45,58.45
1,112,201.6,55.06,20.63,58.4,58.4
1,113,203.4,55.345,20.52,58.15,58.15
1,114,205.2,55.23,21.045,58.25,58.25
1,115,207,54.89,20.95,58.5,58.5
1,116,208.8,55.03,20.855,58.65,58.65
1,117,210.6,55.22,20.73,58.85,58.85
1,118,212.4,55.345,20.1,59.2,59.2
1,119,214.2,53.34,19.68,59.55,59.55
1,120,216,51.35,19.9,59.95,59.95
1,121,217.8,50.245,20.035,60.4,60.4
1,122,219.6,47.485,19.82,61.05,61.05
1,123,221.4,45.95,19.525,61.8,61.8
1,124,223.2,45.615,19.28,62.5,62.5
1,125,225,45.305,18.94,62.9,62.9
1,126,226.8,44.675,18.82,64.6,64.6
